,emoji,meanings_en,meanings_ru
249,🤙🏿,"[""call me""]","[""позвони мне""]"
250,👈,"[""backhand index pointing left"", ""pointing left""]","[""backhand индекс указывает налево"", ""указывая влево""]"
251,👈🏻,"[""backhand index pointing left""]","[""backhand индекс указывает налево""]"
252,👈🏼,"[""backhand index pointing left""]","[""backhand индекс указывает налево""]"
253,👈🏽,"[""backhand index pointing left""]","[""backhand индекс указывает налево""]"
254,👈🏾,"[""backhand index pointing left""]","[""backhand индекс указывает налево""]"
255,👈🏿,"[""backhand index pointing left""]","[""backhand индекс указывает налево""]"
256,👉,"[""backhand index pointing right"", ""pointing right""]","[""backhand индекс указывает право"", ""указать право""]"
257,👉🏻,"[""backhand index pointing right""]","[""backhand индекс указывает право""]"
258,👉🏼,"[""backhand index pointing right""]","[""backhand индекс указывает право""]"
259,👉🏽,"[""backhand index pointing right""]","[""backhand индекс указывает право""]"
260,👉🏾,"[""backhand index pointing right""]","[""backhand индекс указывает право""]"
261,👉🏿,"[""backhand index pointing right""]","[""backhand индекс указывает право""]"
262,👆,"[""backhand index pointing up"", ""middle finger"", ""pointing up""]","[""backhand индекс указывает вверх"", ""средний палец"", ""указывая вверх""]"
263,👆🏻,"[""backhand index pointing up""]","[""backhand индекс указывает вверх""]"
264,👆🏼,"[""backhand index pointing up""]","[""backhand индекс указывает вверх""]"
265,👆🏽,"[""backhand index pointing up""]","[""backhand индекс указывает вверх""]"
266,👆🏾,"[""backhand index pointing up""]","[""backhand индекс указывает вверх""]"
267,👆🏿,"[""backhand index pointing up""]","[""backhand индекс указывает вверх""]"
268,🖕,"[""middle finger"", ""dito medio"", ""flipping the bird"", ""middle finger"", ""rude finger""]","[""средний палец"", ""дито medio"", ""плавание птицы"", ""средний палец"", ""грубый палец""]"
269,🖕🏻,"[""middle finger""]","[""средний палец""]"
270,🖕🏼,"[""middle finger""]","[""средний палец""]"
271,🖕🏽,"[""middle finger""]","[""средний палец""]"
272,🖕🏾,"[""middle finger""]","[""средний палец""]"
273,🖕🏿,"[""middle finger""]","[""средний палец""]"
274,👇,"[""backhand index pointing down"", ""pointing down""]","[""backhand индекс указывает вниз"", ""указывая вниз""]"
275,👇🏻,"[""backhand index pointing down""]","[""backhand индекс указывает вниз""]"
276,👇🏼,"[""backhand index pointing down""]","[""backhand индекс указывает вниз""]"
277,👇🏽,"[""backhand index pointing down""]","[""backhand индекс указывает вниз""]"
278,👇🏾,"[""backhand index pointing down""]","[""backhand индекс указывает вниз""]"
279,👇🏿,"[""backhand index pointing down""]","[""backhand индекс указывает вниз""]"
280,☝️,"[""index pointing up"", ""pointing up"", ""secret""]","[""индекс указывает вверх"", ""указывая вверх"", ""секрет""]"
281,☝,"[""index pointing up"", ""pointing up"", ""secret""]","[""индекс указывает вверх"", ""указывая вверх"", ""секрет""]"
282,☝🏻,"[""index pointing up""]","[""индекс указывает вверх""]"
283,☝🏼,"[""index pointing up""]","[""индекс указывает вверх""]"
284,☝🏽,"[""index pointing up""]","[""индекс указывает вверх""]"
285,☝🏾,"[""index pointing up""]","[""индекс указывает вверх""]"
286,☝🏿,"[""index pointing up""]","[""индекс указывает вверх""]"
287,👍,"[""thumbs up"", ""like"", ""thumbs up"", ""yes""]","[""пальцы вверх"", ""как"", ""пальцы вверх"", ""да""]"
288,👍🏻,"[""thumbs up""]","[""пальцы вверх""]"
289,👍🏼,"[""thumbs up""]","[""пальцы вверх""]"
290,👍🏽,"[""thumbs up""]","[""пальцы вверх""]"
291,👍🏾,"[""thumbs up""]","[""пальцы вверх""]"
292,👍🏿,"[""thumbs up""]","[""пальцы вверх""]"
293,👎,"[""thumbs down"", ""bad"", ""dislike"", ""no""]","[""пачки вниз"", ""плохо"", ""не нравится"", ""нет""]"
294,👎🏻,"[""thumbs down""]","[""пачки вниз""]"
295,👎🏼,"[""thumbs down""]","[""пачки вниз""]"
296,👎🏽,"[""thumbs down""]","[""пачки вниз""]"
297,👎🏾,"[""thumbs down""]","[""пачки вниз""]"
298,👎🏿,"[""thumbs down""]","[""пачки вниз""]"
299,✊,"[""raised fist"", ""fist pump""]","[""Поднятый fist"", ""fist насос""]"
300,✊🏻,"[""raised fist""]","[""Поднятый fist""]"
301,✊🏼,"[""raised fist""]","[""Поднятый fist""]"
302,✊🏽,"[""raised fist""]","[""Поднятый fist""]"
303,✊🏾,"[""raised fist""]","[""Поднятый fist""]"
304,✊🏿,"[""raised fist""]","[""Поднятый fist""]"
305,👊,"[""oncoming fist"", ""bro fist / brofist"", ""fist bump"", ""punch""]","[""настоящий fist"", ""bro fist / брофист"", ""fist бамп"", ""удар""]"
306,👊🏻,"[""oncoming fist""]","[""настоящий fist""]"
307,👊🏼,"[""oncoming fist""]","[""настоящий fist""]"
308,👊🏽,"[""oncoming fist""]","[""настоящий fist""]"
309,👊🏾,"[""oncoming fist""]","[""настоящий fist""]"
310,👊🏿,"[""oncoming fist""]","[""настоящий fist""]"
311,🤛,"[""fist"", ""left fist bump""]","[""Фист"", ""левый fist bump""]"
312,🤛🏻,"[""fist""]","[""Фист""]"
313,🤛🏼,"[""fist""]","[""Фист""]"
314,🤛🏽,"[""fist""]","[""Фист""]"
315,🤛🏾,"[""fist""]","[""Фист""]"
316,🤛🏿,"[""fist""]","[""Фист""]"
317,🤜,"[""fist"", ""right fist bump""]","[""Фист"", ""правый fist bump""]"
318,🤜🏻,"[""fist""]","[""Фист""]"
319,🤜🏼,"[""fist""]","[""Фист""]"
320,🤜🏽,"[""fist""]","[""Фист""]"
321,🤜🏾,"[""fist""]","[""Фист""]"
322,🤜🏿,"[""fist""]","[""Фист""]"
323,👏,"[""clapping hands"", ""applause"", ""clap"", ""clapping"", ""golf clap"", ""round of applause""]","[""clapping руки"", ""аплодисмент"", ""Клап"", ""Клаппинг"", ""гольф клап"", ""раунд аплодисмента""]"
324,👏🏻,"[""clapping hands""]","[""clapping руки""]"
325,👏🏼,"[""clapping hands""]","[""clapping руки""]"
326,👏🏽,"[""clapping hands""]","[""clapping руки""]"
327,👏🏾,"[""clapping hands""]","[""clapping руки""]"
328,👏🏿,"[""clapping hands""]","[""clapping руки""]"
329,🙌,"[""raising hands"", ""arms in the air"", ""banzai"", ""festivus miracle"", ""hallelujah"", ""praise hands"", ""two hands""]","[""поднимать руки"", ""руки в воздухе"", ""банзай"", ""праздничное чудо"", ""Hallelujah"", ""хвалите руки"", ""две руки""]"
330,🙌🏻,"[""raising hands""]","[""поднимать руки""]"
331,🙌🏼,"[""raising hands""]","[""поднимать руки""]"
332,🙌🏽,"[""raising hands""]","[""поднимать руки""]"
333,🙌🏾,"[""raising hands""]","[""поднимать руки""]"
334,🙌🏿,"[""raising hands""]","[""поднимать руки""]"
335,👐,"[""open hands"", ""hug"", ""jazz hands""]","[""открытые руки"", ""авг"", ""джазовые руки""]"
336,👐🏻,"[""open hands""]","[""открытые руки""]"
337,👐🏼,"[""open hands""]","[""открытые руки""]"
338,👐🏽,"[""open hands""]","[""открытые руки""]"
339,👐🏾,"[""open hands""]","[""открытые руки""]"
340,👐🏿,"[""open hands""]","[""открытые руки""]"
341,🤲,"[""palms up together"", ""dua""]","[""пальмы вместе"", ""Дуа""]"
342,🤲🏻,"[""palms up together""]","[""пальмы вместе""]"
343,🤲🏼,"[""palms up together""]","[""пальмы вместе""]"
344,🤲🏽,"[""palms up together""]","[""пальмы вместе""]"
345,🤲🏾,"[""palms up together""]","[""пальмы вместе""]"
346,🤲🏿,"[""palms up together""]","[""пальмы вместе""]"
347,🤝,"[""handshake"", ""shaking hands""]","[""руки"", ""тряся руки""]"
348,🙏,"[""folded hands"", ""namaste"", ""please"", ""prayer"", ""thank you""]","[""сложенные руки"", ""Намасте"", ""пожалуйста"", ""молитва"", ""спасибо""]"
349,🙏🏻,"[""folded hands""]","[""сложенные руки""]"
350,🙏🏼,"[""folded hands""]","[""сложенные руки""]"
351,🙏🏽,"[""folded hands""]","[""сложенные руки""]"
352,🙏🏾,"[""folded hands""]","[""сложенные руки""]"
353,🙏🏿,"[""folded hands""]","[""сложенные руки""]"
354,✍️,"[""writing""]","[""писать""]"
355,✍,"[""writing""]","[""писать""]"
356,✍🏻,"[""writing""]","[""писать""]"
357,✍🏼,"[""writing""]","[""писать""]"
358,✍🏽,"[""writing""]","[""писать""]"
359,✍🏾,"[""writing""]","[""писать""]"
360,✍🏿,"[""writing""]","[""писать""]"
361,💅,"[""nail polish"", ""fingers"", ""manicure"", ""nonchalant""]","[""ногтей польский"", ""пальцы"", ""маникюр"", ""нехалант""]"
362,💅🏻,"[""nail polish""]","[""ногтей польский""]"
363,💅🏼,"[""nail polish""]","[""ногтей польский""]"
364,💅🏽,"[""nail polish""]","[""ногтей польский""]"
365,💅🏾,"[""nail polish""]","[""ногтей польский""]"
366,💅🏿,"[""nail polish""]","[""ногтей польский""]"
367,🤳,"[""selfie"", ""phone camera"", ""selfie""]","[""селфи"", ""телефонная камера"", ""селфи""]"
368,🤳🏻,"[""selfie""]","[""селфи""]"
369,🤳🏼,"[""selfie""]","[""селфи""]"
370,🤳🏽,"[""selfie""]","[""селфи""]"
371,🤳🏾,"[""selfie""]","[""селфи""]"
372,🤳🏿,"[""selfie""]","[""селфи""]"
373,💪,"[""flexed biceps"", ""feats of strength"", ""flexing arm muscles"", ""muscle"", ""strong""]","[""Флексированные бицепсы"", ""подвиги силы"", ""Флексирование мышц рук"", ""мышцы"", ""сильный""]"
374,💪🏻,"[""flexed biceps""]","[""Флексированные бицепсы""]"
375,💪🏼,"[""flexed biceps""]","[""Флексированные бицепсы""]"
376,💪🏽,"[""flexed biceps""]","[""Флексированные бицепсы""]"
377,💪🏾,"[""flexed biceps""]","[""Флексированные бицепсы""]"
378,💪🏿,"[""flexed biceps""]","[""Флексированные бицепсы""]"
379,🦾,"[""mechanical arm""]","[""механическая рука""]"
380,🦿,"[""mechanical leg""]","[""механическая нога""]"
381,🦵,"[""leg""]","[""ноги""]"
382,🦵🏻,"[""leg""]","[""ноги""]"
383,🦵🏼,"[""leg""]","[""ноги""]"
384,🦵🏽,"[""leg""]","[""ноги""]"
385,🦵🏾,"[""leg""]","[""ноги""]"
386,🦵🏿,"[""leg""]","[""ноги""]"
387,🦶,"[""foot""]","[""пешком""]"
388,🦶🏻,"[""foot""]","[""пешком""]"
389,🦶🏼,"[""foot""]","[""пешком""]"
390,🦶🏽,"[""foot""]","[""пешком""]"
391,🦶🏾,"[""foot""]","[""пешком""]"
392,🦶🏿,"[""foot""]","[""пешком""]"
393,👂,"[""ear"", ""ears"", ""hearing"", ""listening""]","[""ухо"", ""уши"", ""слух"", ""слушать""]"
394,👂🏻,"[""ear""]","[""ухо""]"
395,👂🏼,"[""ear""]","[""ухо""]"
396,👂🏽,"[""ear""]","[""ухо""]"
397,👂🏾,"[""ear""]","[""ухо""]"
398,👂🏿,"[""ear""]","[""ухо""]"
399,🦻,"[""ear with hearing aid""]","[""ухо с слуховой аппарат""]"
400,🦻🏻,"[""ear with hearing aid""]","[""ухо с слуховой аппарат""]"
401,🦻🏼,"[""ear with hearing aid""]","[""ухо с слуховой аппарат""]"
