,emoji,keywords_ru
268,🖕,"{""Медио"": 1, ""птица"": 3, ""Руд"": 3, ""середина"": 8, ""палец"": 9, ""Флиппинг"": 1, ""дито"": 1, ""и"": 12}"
269,🖕🏻,"{""свет"": 566, ""середина"": 8, ""палец"": 9}"
270,🖕🏼,"{""средний свет"": 561, ""середина"": 8, ""палец"": 9}"
271,🖕🏽,"{""середина"": 8, ""палец"": 9, ""средний"": 566}"
272,🖕🏾,"{""середина"": 8, ""палец"": 9, ""средний парк"": 561}"
273,🖕🏿,"{""середина"": 8, ""палец"": 9, ""темнота"": 564}"
274,👇,"{""индекс"": 34, ""назад"": 25, ""Точка"": 42}"
275,👇🏻,"{""индекс"": 34, ""назад"": 25, ""свет"": 566, ""Точка"": 42}"
276,👇🏼,"{""индекс"": 34, ""назад"": 25, ""средний свет"": 561, ""Точка"": 42}"
277,👇🏽,"{""индекс"": 34, ""назад"": 25, ""средний"": 566, ""Точка"": 42}"
278,👇🏾,"{""индекс"": 34, ""назад"": 25, ""средний парк"": 561, ""Точка"": 42}"
279,👇🏿,"{""индекс"": 34, ""назад"": 25, ""Точка"": 42, ""темнота"": 564}"
280,☝️,"{""секрет"": 4, ""Точка"": 42, ""индекс"": 34}"
281,☝,"{""секрет"": 4, ""Точка"": 42, ""индекс"": 34}"
282,☝🏻,"{""индекс"": 34, ""свет"": 566, ""Точка"": 42}"
283,☝🏼,"{""индекс"": 34, ""средний свет"": 561, ""Точка"": 42}"
284,☝🏽,"{""индекс"": 34, ""средний"": 566, ""Точка"": 42}"
285,☝🏾,"{""индекс"": 34, ""средний парк"": 561, ""Точка"": 42}"
286,☝🏿,"{""индекс"": 34, ""Точка"": 42, ""темнота"": 564}"
287,👍,"{""пальцы"": 12, ""вверх"": 16}"
288,👍🏻,"{""вверх"": 16, ""свет"": 566, ""пальцы"": 12}"
289,👍🏼,"{""вверх"": 16, ""средний свет"": 561, ""пальцы"": 12}"
290,👍🏽,"{""вверх"": 16, ""пальцы"": 12, ""средний"": 566}"
291,👍🏾,"{""вверх"": 16, ""пальцы"": 12, ""средний парк"": 561}"
292,👍🏿,"{""вверх"": 16, ""пальцы"": 12, ""темнота"": 564}"
293,👎,"{""вниз"": 12, ""пальцы"": 12, ""плохо"": 1, ""не нравится"": 1, ""нет"": 43}"
294,👎🏻,"{""вниз"": 12, ""свет"": 566, ""пальцы"": 12}"
295,👎🏼,"{""вниз"": 12, ""средний свет"": 561, ""пальцы"": 12}"
296,👎🏽,"{""вниз"": 12, ""пальцы"": 12, ""средний"": 566}"
297,👎🏾,"{""вниз"": 12, ""пальцы"": 12, ""средний парк"": 561}"
298,👎🏿,"{""вниз"": 12, ""пальцы"": 12, ""темнота"": 564}"
299,✊,"{""Фист"": 24, ""собрано"": 21, ""насос"": 2}"
300,✊🏻,"{""Фист"": 24, ""свет"": 566, ""собрано"": 21}"
301,✊🏼,"{""Фист"": 24, ""средний свет"": 561, ""собрано"": 21}"
302,✊🏽,"{""Фист"": 24, ""средний"": 566, ""собрано"": 21}"
303,✊🏾,"{""Фист"": 24, ""средний парк"": 561, ""собрано"": 21}"
304,✊🏿,"{""Фист"": 24, ""собрано"": 21, ""темнота"": 564}"
305,👊,"{""Фист"": 24, ""брофис"": 1, ""Вход"": 10, ""Бамп"": 3, ""/ /"": 1, ""бро"": 1, ""удар"": 2}"
306,👊🏻,"{""Фист"": 24, ""Вход"": 10, ""свет"": 566}"
307,👊🏼,"{""Фист"": 24, ""Вход"": 10, ""средний свет"": 561}"
308,👊🏽,"{""Фист"": 24, ""Вход"": 10, ""средний"": 566}"
309,👊🏾,"{""Фист"": 24, ""Вход"": 10, ""средний парк"": 561}"
310,👊🏿,"{""Фист"": 24, ""Вход"": 10, ""темнота"": 564}"
311,🤛,"{""Фист"": 24, ""левая упаковка"": 6, ""Бамп"": 3, ""влево"": 19}"
312,🤛🏻,"{""Фист"": 24, ""левая упаковка"": 6, ""свет"": 566}"
313,🤛🏼,"{""Фист"": 24, ""левая упаковка"": 6, ""средний свет"": 561}"
314,🤛🏽,"{""Фист"": 24, ""левая упаковка"": 6, ""средний"": 566}"
315,🤛🏾,"{""Фист"": 24, ""левая упаковка"": 6, ""средний парк"": 561}"
316,🤛🏿,"{""Фист"": 24, ""левая упаковка"": 6, ""темнота"": 564}"
317,🤜,"{""Фист"": 24, ""правильное оформление"": 6, ""Бамп"": 3, ""право"": 22}"
318,🤜🏻,"{""Фист"": 24, ""правильное оформление"": 6, ""свет"": 566}"
319,🤜🏼,"{""Фист"": 24, ""правильное оформление"": 6, ""средний свет"": 561}"
320,🤜🏽,"{""Фист"": 24, ""правильное оформление"": 6, ""средний"": 566}"
321,🤜🏾,"{""Фист"": 24, ""правильное оформление"": 6, ""средний парк"": 561}"
322,🤜🏿,"{""Фист"": 24, ""правильное оформление"": 6, ""темнота"": 564}"
323,👏,"{""гольф"": 4, ""аплодисмент"": 1, ""руки"": 131, ""Клаппинг"": 6, ""тур"": 3, ""Клап"": 1}"
324,👏🏻,"{""руки"": 131, ""свет"": 566, ""Клаппинг"": 6}"
325,👏🏼,"{""руки"": 131, ""средний свет"": 561, ""Клаппинг"": 6}"
326,👏🏽,"{""руки"": 131, ""Клаппинг"": 6, ""средний"": 566}"
327,👏🏾,"{""руки"": 131, ""Клаппинг"": 6, ""средний парк"": 561}"
328,👏🏿,"{""руки"": 131, ""Клаппинг"": 6, ""темнота"": 564}"
329,🙌,"{""повышение"": 36, ""воздух"": 3, ""чудо"": 1, ""руки"": 2, ""Фестиваля"": 1, ""два"": 7, ""хвала"": 1, ""и"": 12, ""банзай"": 1, ""Hallelujah"": 1}"
330,🙌🏻,"{""повышение"": 36, ""руки"": 131, ""свет"": 566}"
331,🙌🏼,"{""повышение"": 36, ""руки"": 131, ""средний свет"": 561}"
332,🙌🏽,"{""повышение"": 36, ""руки"": 131, ""средний"": 566}"
333,🙌🏾,"{""повышение"": 36, ""руки"": 131, ""средний парк"": 561}"
334,🙌🏿,"{""повышение"": 36, ""руки"": 131, ""темнота"": 564}"
335,👐,"{""джаз"": 3, ""открыть"": 15, ""руки"": 131, ""авг"": 2}"
336,👐🏻,"{""руки"": 131, ""свет"": 566, ""открыть"": 15}"
337,👐🏼,"{""руки"": 131, ""средний свет"": 561, ""открыть"": 15}"
338,👐🏽,"{""руки"": 131, ""открыть"": 15, ""средний"": 566}"
339,👐🏾,"{""руки"": 131, ""открыть"": 15, ""средний парк"": 561}"
340,👐🏿,"{""руки"": 131, ""открыть"": 15, ""темнота"": 564}"
341,🤲,"{""вверх"": 16, ""вместе"": 6, ""Дуа"": 1, ""пальмы"": 6}"
342,🤲🏻,"{""вверх"": 16, ""пальмы"": 6, ""вместе"": 6, ""свет"": 566}"
343,🤲🏼,"{""вверх"": 16, ""пальмы"": 6, ""вместе"": 6, ""средний свет"": 561}"
344,🤲🏽,"{""вверх"": 16, ""пальмы"": 6, ""вместе"": 6, ""средний"": 566}"
345,🤲🏾,"{""вверх"": 16, ""пальмы"": 6, ""вместе"": 6, ""средний парк"": 561}"
346,🤲🏿,"{""вверх"": 16, ""пальмы"": 6, ""вместе"": 6, ""темнота"": 564}"
347,🤝,"{""руки"": 131, ""тень"": 1}"
348,🙏,"{""Вы"": 2, ""сложенный"": 6, ""руки"": 131, ""пожалуйста"": 1, ""спасибо"": 1, ""Намасте"": 1, ""молитва"": 2}"
349,🙏🏻,"{""сложенный"": 6, ""руки"": 131, ""свет"": 566}"
350,🙏🏼,"{""сложенный"": 6, ""руки"": 131, ""средний свет"": 561}"
351,🙏🏽,"{""сложенный"": 6, ""руки"": 131, ""средний"": 566}"
352,🙏🏾,"{""сложенный"": 6, ""руки"": 131, ""средний парк"": 561}"
353,🙏🏿,"{""сложенный"": 6, ""руки"": 131, ""темнота"": 564}"
354,✍️,"{""рука"": 119, ""писать"": 7}"
355,✍,"{""рука"": 119, ""писать"": 7}"
356,✍🏻,"{""писать"": 7, ""свет"": 566, ""рука"": 119}"
357,✍🏼,"{""писать"": 7, ""средний свет"": 561, ""рука"": 119}"
358,✍🏽,"{""писать"": 7, ""средний"": 566, ""рука"": 119}"
359,✍🏾,"{""писать"": 7, ""средний парк"": 561, ""рука"": 119}"
360,✍🏿,"{""писать"": 7, ""рука"": 119, ""темнота"": 564}"
361,💅,"{""маникюр"": 1, ""Гвоздь"": 6, ""нехалант"": 1, ""польский"": 7, ""пальцы"": 21}"
362,💅🏻,"{""Гвоздь"": 6, ""свет"": 566, ""польский"": 7}"
363,💅🏼,"{""Гвоздь"": 6, ""средний свет"": 561, ""польский"": 7}"
364,💅🏽,"{""Гвоздь"": 6, ""польский"": 7, ""средний"": 566}"
365,💅🏾,"{""Гвоздь"": 6, ""средний парк"": 561, ""польский"": 7}"
366,💅🏿,"{""Гвоздь"": 6, ""польский"": 7, ""темнота"": 564}"
367,🤳,"{""селфи"": 6, ""фото"": 5, ""рука"": 119, ""телефон"": 10}"
368,🤳🏻,"{""свет"": 566, ""селфи"": 6}"
369,🤳🏼,"{""средний свет"": 561, ""селфи"": 6}"
370,🤳🏽,"{""селфи"": 6, ""средний"": 566}"
371,🤳🏾,"{""средний парк"": 561, ""селфи"": 6}"
372,🤳🏿,"{""селфи"": 6, ""темнота"": 564}"
373,💪,"{""бицепс"": 6, ""сильный"": 1, ""мышцы"": 1, ""рука"": 2, ""сила"": 2, ""Флексинг"": 1, ""прайс"": 1, ""Флексированный"": 6}"
374,💪🏻,"{""бицепс"": 6, ""свет"": 566, ""Флексированный"": 6}"
375,💪🏼,"{""бицепс"": 6, ""средний свет"": 561, ""Флексированный"": 6}"
376,💪🏽,"{""бицепс"": 6, ""средний"": 566, ""Флексированный"": 6}"
377,💪🏾,"{""бицепс"": 6, ""средний парк"": 561, ""Флексированный"": 6}"
378,💪🏿,"{""бицепс"": 6, ""Флексированный"": 6, ""темнота"": 564}"
379,🦾,"{""рука"": 2, ""механический"": 2}"
380,🦿,"{""ноги"": 8, ""механический"": 2}"
381,🦵,"{""ноги"": 8}"
382,🦵🏻,"{""свет"": 566, ""ноги"": 8}"
383,🦵🏼,"{""средний свет"": 561, ""ноги"": 8}"
384,🦵🏽,"{""ноги"": 8, ""средний"": 566}"
385,🦵🏾,"{""ноги"": 8, ""средний парк"": 561}"
386,🦵🏿,"{""ноги"": 8, ""темнота"": 564}"
387,🦶,"{""пешком"": 8}"
388,🦶🏻,"{""пешком"": 8, ""свет"": 566}"
389,🦶🏼,"{""пешком"": 8, ""средний свет"": 561}"
390,🦶🏽,"{""пешком"": 8, ""средний"": 566}"
391,🦶🏾,"{""пешком"": 8, ""средний парк"": 561}"
392,🦶🏿,"{""пешком"": 8, ""темнота"": 564}"
393,👂,"{""слух"": 7, ""слушать"": 1, ""уши"": 7, ""ухо"": 13}"
394,👂🏻,"{""свет"": 566, ""ухо"": 13}"
395,👂🏼,"{""средний свет"": 561, ""ухо"": 13}"
396,👂🏽,"{""средний"": 566, ""ухо"": 13}"
397,👂🏾,"{""средний парк"": 561, ""ухо"": 13}"
398,👂🏿,"{""темнота"": 564, ""ухо"": 13}"
399,🦻,"{""помощь"": 7, ""слух"": 7, ""ухо"": 13}"
400,🦻🏻,"{""помощь"": 7, ""слух"": 7, ""свет"": 566, ""ухо"": 13}"
401,🦻🏼,"{""помощь"": 7, ""средний свет"": 561, ""слух"": 7, ""ухо"": 13}"
402,🦻🏽,"{""помощь"": 7, ""слух"": 7, ""средний"": 566, ""ухо"": 13}"
403,🦻🏾,"{""помощь"": 7, ""слух"": 7, ""средний парк"": 561, ""ухо"": 13}"
404,🦻🏿,"{""помощь"": 7, ""слух"": 7, ""темнота"": 564, ""ухо"": 13}"
405,👃,"{""Смысл песни:"": 1, ""сниффинг"": 1, ""нос"": 10, ""пахнуть"": 1}"
406,👃🏻,"{""нос"": 10, ""свет"": 566}"
407,👃🏼,"{""нос"": 10, ""средний свет"": 561}"
408,👃🏽,"{""нос"": 10, ""средний"": 566}"
409,👃🏾,"{""нос"": 10, ""средний парк"": 561}"
410,👃🏿,"{""нос"": 10, ""темнота"": 564}"
411,🧠,"{""мозг"": 3}"
412,🫀,"{""анатомический"": 1, ""сердце"": 234}"
413,🫁,"{""легкие"": 1}"
414,🦷,"{""зуб"": 1}"
415,🦴,"{""кость"": 2}"
416,👀,"{""широкий"": 2, ""глаза"": 19, ""Смена"": 1}"
417,👁️,"{""один"": 3, ""глаза"": 11}"
418,👁,"{""один"": 3, ""глаза"": 11}"
419,👅,"{""язык"": 4}"
420,👄,"{""губы"": 3, ""поцелуи"": 8, ""рот"": 11}"
421,👶,"{""кредер"": 1, ""малыш"": 35, ""ребенок"": 8}"
422,👶🏻,"{""малыш"": 35, ""свет"": 566}"
423,👶🏼,"{""малыш"": 35, ""средний свет"": 561}"
424,👶🏽,"{""малыш"": 35, ""средний"": 566}"
425,👶🏾,"{""малыш"": 35, ""средний парк"": 561}"
426,👶🏿,"{""малыш"": 35, ""темнота"": 564}"
427,🧒,"{""пол"": 6, ""ребенок"": 8, ""нейтральный"": 8}"
428,🧒🏻,"{""свет"": 566, ""ребенок"": 8}"
429,🧒🏼,"{""средний свет"": 561, ""ребенок"": 8}"
430,🧒🏽,"{""ребенок"": 8, ""средний"": 566}"
431,🧒🏾,"{""средний парк"": 561, ""ребенок"": 8}"
432,🧒🏿,"{""ребенок"": 8, ""темнота"": 564}"
433,👦,"{""мальчик"": 26}"
434,👦🏻,"{""свет"": 566, ""мальчик"": 26}"
435,👦🏼,"{""средний свет"": 561, ""мальчик"": 26}"
436,👦🏽,"{""средний"": 566, ""мальчик"": 26}"
437,👦🏾,"{""средний парк"": 561, ""мальчик"": 26}"
438,👦🏿,"{""мальчик"": 26, ""темнота"": 564}"
439,👧,"{""девушка"": 24}"
440,👧🏻,"{""девушка"": 24, ""свет"": 566}"
441,👧🏼,"{""девушка"": 24, ""средний свет"": 561}"
442,👧🏽,"{""девушка"": 24, ""средний"": 566}"
443,👧🏾,"{""девушка"": 24, ""средний парк"": 561}"
444,👧🏿,"{""девушка"": 24, ""темнота"": 564}"
445,🧑,"{""взрослый"": 2, ""человек"": 386, ""пол"": 6, ""нейтральный"": 8}"
446,🧑🏻,"{""свет"": 566, ""человек"": 386}"
447,🧑🏼,"{""средний свет"": 561, ""человек"": 386}"
448,🧑🏽,"{""человек"": 386, ""средний"": 566}"
449,🧑🏾,"{""человек"": 386, ""средний парк"": 561}"
450,🧑🏿,"{""человек"": 386, ""темнота"": 564}"
451,👱,"{""блондинка"": 2, ""человек"": 1003, ""волосы"": 86}"
452,👱🏻,"{""блондинка"": 30, ""свет"": 566, ""человек"": 386, ""волосы"": 86}"
453,👱🏼,"{""блондинка"": 30, ""средний свет"": 561, ""человек"": 386, ""волосы"": 86}"
454,👱🏽,"{""блондинка"": 30, ""человек"": 386, ""средний"": 566, ""волосы"": 86}"
455,👱🏾,"{""блондинка"": 30, ""человек"": 386, ""средний парк"": 561, ""волосы"": 86}"
456,👱🏿,"{""блондинка"": 30, ""человек"": 386, ""волосы"": 86, ""темнота"": 564}"
457,👨,"{""мужчина"": 15, ""мусташь"": 1, ""человек"": 1003}"
458,👨🏻,"{""свет"": 566, ""человек"": 1003}"
459,👨🏼,"{""средний свет"": 561, ""человек"": 1003}"
460,👨🏽,"{""человек"": 1003, ""средний"": 566}"
461,👨🏾,"{""средний парк"": 561, ""человек"": 1003}"
462,👨🏿,"{""человек"": 1003, ""темнота"": 564}"
463,🧔,"{""борода"": 3, ""человек"": 386}"
464,🧔🏻,"{""свет"": 566, ""человек"": 386, ""борода"": 30}"
465,🧔🏼,"{""средний свет"": 561, ""человек"": 386, ""борода"": 30}"
466,🧔🏽,"{""человек"": 386, ""борода"": 30, ""средний"": 566}"
467,🧔🏾,"{""человек"": 386, ""средний парк"": 561, ""борода"": 30}"
468,🧔🏿,"{""человек"": 386, ""борода"": 30, ""темнота"": 564}"
469,🧔‍♂️,"{""борода"": 30, ""человек"": 1003}"
470,🧔‍♂,"{""борода"": 30, ""человек"": 1003}"
471,🧔🏻‍♂️,"{""свет"": 566, ""человек"": 1003, ""борода"": 30}"
472,🧔🏻‍♂,"{""свет"": 566, ""человек"": 1003, ""борода"": 30}"
473,🧔🏼‍♂️,"{""средний свет"": 561, ""человек"": 1003, ""борода"": 30}"
474,🧔🏼‍♂,"{""средний свет"": 561, ""человек"": 1003, ""борода"": 30}"
475,🧔🏽‍♂️,"{""человек"": 1003, ""борода"": 30, ""средний"": 566}"
476,🧔🏽‍♂,"{""человек"": 1003, ""борода"": 30, ""средний"": 566}"
477,🧔🏾‍♂️,"{""средний парк"": 561, ""человек"": 1003, ""борода"": 30}"
478,🧔🏾‍♂,"{""средний парк"": 561, ""человек"": 1003, ""борода"": 30}"
