,emoji,meanings,words,poses
90,😓,"[""Downcast Face with Sweat"", ""Hard Work"", ""Sad Sweat Face""]","[""downcast"", ""sad"", ""hard"", ""sweat"", ""face"", ""with"", ""work""]","{""downcast"": ""NOUN"", ""face"": ""NOUN"", ""with"": ""ADP"", ""sweat"": ""NOUN"", ""hard"": ""NOUN"", ""work"": ""NOUN"", ""sad"": ""NOUN""}"
91,😩,"[""Weary Face"", ""Distraught Face"", ""Wailing""]","[""distraught"", ""wailing"", ""face"", ""weary""]","{""weary"": ""ADJ"", ""face"": ""NOUN"", ""distraught"": ""NOUN"", ""wailing"": ""VERB""}"
92,😫,"[""Tired Face"", ""Exhausted"", ""Fed Up""]","[""face"", ""fed"", ""up"", ""exhausted"", ""tired""]","{""tired"": ""ADJ"", ""face"": ""NOUN"", ""exhausted"": ""VERB"", ""fed"": ""NOUN"", ""up"": ""PRT""}"
93,🥱,"[""Yawning Face""]","[""yawning"", ""face""]","{""yawning"": ""VERB"", ""face"": ""NOUN""}"
94,😤,"[""Face with Steam From Nose"", ""Airing of Grievances"", ""Frustrated"", ""Mad Face"", ""Steaming""]","[""airing"", ""steam"", ""from"", ""steaming"", ""nose"", ""frustrated"", ""face"", ""of"", ""mad"", ""with"", ""grievances""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""steam"": ""NOUN"", ""from"": ""NOUN"", ""nose"": ""NOUN"", ""airing"": ""NOUN"", ""of"": ""ADP"", ""grievances"": ""NOUN"", ""frustrated"": ""VERB"", ""mad"": ""NOUN"", ""steaming"": ""VERB""}"
95,😡,"[""Enraged Face"", ""Angry Face"", ""Grumpy Face"", ""Mad Face"", ""Red Face""]","[""angry"", ""face"", ""grumpy"", ""enraged"", ""red"", ""mad""]","{""enraged"": ""ADJ"", ""face"": ""NOUN"", ""angry"": ""ADJ"", ""grumpy"": ""NOUN"", ""mad"": ""NOUN"", ""red"": ""ADJ""}"
96,😠,"[""Angry Face"", ""Angry"", ""Grumpy Face""]","[""angry"", ""face"", ""grumpy""]","{""angry"": ""ADJ"", ""face"": ""NOUN"", ""grumpy"": ""NOUN""}"
97,🤬,"[""Face with Symbols on Mouth"", ""Cursing"", ""Cussing"", ""Grawlix"", ""Swearing""]","[""symbols"", ""cursing"", ""cussing"", ""swearing"", ""on"", ""mouth"", ""face"", ""grawlix"", ""with""]","{""face"": ""NOUN"", ""with"": ""ADP"", ""symbols"": ""NOUN"", ""on"": ""ADP"", ""mouth"": ""NOUN"", ""cursing"": ""VERB"", ""cussing"": ""VERB"", ""grawlix"": ""NOUN"", ""swearing"": ""VERB""}"
98,😈,"[""Smiling Face with Horns"", ""Devil"", ""Devil Horns"", ""Happy Devil"", ""Purple Devil"", ""Red Devil""]","[""purple"", ""smiling"", ""happy"", ""devil"", ""face"", ""horns"", ""with"", ""red""]","{""smiling"": ""VERB"", ""face"": ""NOUN"", ""with"": ""ADP"", ""horns"": ""NOUN"", ""devil"": ""NOUN"", ""happy"": ""ADJ"", ""purple"": ""NOUN"", ""red"": ""NOUN""}"
99,👿,"[""Angry Face with Horns"", ""Devil"", ""Devil Horns"", ""Purple Devil"", ""Purple Goblin"", ""Sad Devil""]","[""purple"", ""sad"", ""devil"", ""angry"", ""face"", ""horns"", ""with"", ""goblin""]","{""angry"": ""ADJ"", ""face"": ""NOUN"", ""with"": ""ADP"", ""horns"": ""NOUN"", ""devil"": ""NOUN"", ""purple"": ""NOUN"", ""goblin"": ""NOUN"", ""sad"": ""NOUN""}"
100,💀,"[""Skull"", ""Death"", ""Grey Skull"", ""Skeleton""]","[""grey"", ""skull"", ""skeleton"", ""death""]","{""skull"": ""NOUN"", ""death"": ""NOUN"", ""grey"": ""NOUN"", ""skeleton"": ""NOUN""}"
101,☠️,"[""Skull and Crossbones""]","[""and"", ""crossbones"", ""skull""]","{""skull"": ""NOUN"", ""and"": ""CONJ"", ""crossbones"": ""NOUN""}"
102,☠,"[""Skull and Crossbones""]","[""and"", ""crossbones"", ""skull""]","{""skull"": ""NOUN"", ""and"": ""CONJ"", ""crossbones"": ""NOUN""}"
103,💩,"[""Pile of Poo"", ""Dog Dirt"", ""Smiling Poop""]","[""pile"", ""poo"", ""dog"", ""smiling"", ""dirt"", ""of"", ""poop""]","{""pile"": ""NOUN"", ""of"": ""ADP"", ""poo"": ""NOUN"", ""dog"": ""NOUN"", ""dirt"": ""NOUN"", ""smiling"": ""VERB"", ""poop"": ""NOUN""}"
104,🤡,"[""Clown Face""]","[""face"", ""clown""]","{""clown"": ""NOUN"", ""face"": ""NOUN""}"
105,👹,"[""Ogre"", ""Mask Face"", ""Oni"", ""Red Monster""]","[""face"", ""oni"", ""mask"", ""monster"", ""ogre"", ""red""]","{""ogre"": ""NOUN"", ""mask"": ""NOUN"", ""face"": ""NOUN"", ""oni"": ""NOUN"", ""red"": ""ADJ"", ""monster"": ""NOUN""}"
106,👺,"[""Goblin"", ""Long Nose Face"", ""Red Mask"", ""Tengu""]","[""long"", ""face"", ""mask"", ""tengu"", ""nose"", ""goblin"", ""red""]","{""goblin"": ""NOUN"", ""long"": ""ADV"", ""nose"": ""NOUN"", ""face"": ""NOUN"", ""red"": ""ADJ"", ""mask"": ""NOUN"", ""tengu"": ""NOUN""}"
107,👻,"[""Ghost"", ""Disappear"", ""Ghoul"", ""Halloween""]","[""ghost"", ""disappear"", ""ghoul"", ""halloween""]","{""ghost"": ""NOUN"", ""disappear"": ""NOUN"", ""ghoul"": ""NOUN"", ""halloween"": ""NOUN""}"
108,👽,"[""Alien"", ""Alien"", ""ET""]","[""et"", ""alien""]","{""alien"": ""NOUN"", ""et"": ""NOUN""}"
109,👾,"[""Alien Monster"", ""Space Invader"", ""Video Game Monster""]","[""video"", ""game"", ""invader"", ""space"", ""monster"", ""alien""]","{""alien"": ""NOUN"", ""monster"": ""NOUN"", ""space"": ""NOUN"", ""invader"": ""NOUN"", ""video"": ""NOUN"", ""game"": ""NOUN""}"
110,🤖,"[""Robot"", ""Robot""]","[""robot""]","{""robot"": ""NOUN""}"
111,😺,"[""Grinning Cat"", ""Happy Cat"", ""Smiling Cat""]","[""smiling"", ""grinning"", ""happy"", ""cat""]","{""grinning"": ""VERB"", ""cat"": ""NOUN"", ""happy"": ""ADJ"", ""smiling"": ""VERB""}"
112,😸,"[""Grinning Cat with Smiling Eyes"", ""Grinning Cat"", ""Happy Cat""]","[""smiling"", ""grinning"", ""happy"", ""with"", ""cat"", ""eyes""]","{""grinning"": ""VERB"", ""cat"": ""NOUN"", ""with"": ""ADP"", ""smiling"": ""NOUN"", ""eyes"": ""NOUN"", ""happy"": ""ADJ""}"
113,😹,"[""Cat with Tears of Joy"", ""Happy Tears Cat"", ""Laughing Cat""]","[""tears"", ""with"", ""of"", ""happy"", ""joy"", ""cat"", ""laughing""]","{""cat"": ""NOUN"", ""with"": ""ADP"", ""tears"": ""NOUN"", ""of"": ""ADP"", ""joy"": ""NOUN"", ""happy"": ""ADJ"", ""laughing"": ""VERB""}"
114,😻,"[""Smiling Cat with Heart-Eyes"", ""Heart Eyes Cat"", ""Loving Cat""]","[""heart"", ""smiling"", ""loving"", ""heart-eyes"", ""with"", ""cat"", ""eyes""]","{""smiling"": ""VERB"", ""cat"": ""NOUN"", ""with"": ""ADP"", ""heart-eyes"": ""NOUN"", ""heart"": ""NOUN"", ""eyes"": ""NOUN"", ""loving"": ""VERB""}"
115,😼,"[""Cat with Wry Smile"", ""Smirking Cat""]","[""smirking"", ""cat"", ""with"", ""wry"", ""smile""]","{""cat"": ""NOUN"", ""with"": ""ADP"", ""wry"": ""NOUN"", ""smile"": ""NOUN"", ""smirking"": ""VERB""}"
116,😽,"[""Kissing Cat"", ""Kissing Cat""]","[""kissing"", ""cat""]","{""kissing"": ""VERB"", ""cat"": ""NOUN""}"
117,🙀,"[""Weary Cat"", ""Scared Cat"", ""Screaming Cat""]","[""weary"", ""scared"", ""screaming"", ""cat""]","{""weary"": ""ADJ"", ""cat"": ""NOUN"", ""scared"": ""NOUN"", ""screaming"": ""VERB""}"
118,😿,"[""Crying Cat"", ""Crying Cat"", ""Sad Cat""]","[""crying"", ""cat"", ""sad""]","{""crying"": ""VERB"", ""cat"": ""NOUN"", ""sad"": ""NOUN""}"
119,😾,"[""Pouting Cat"", ""Grumpy Cat""]","[""pouting"", ""grumpy"", ""cat""]","{""pouting"": ""VERB"", ""cat"": ""NOUN"", ""grumpy"": ""NOUN""}"
120,🙈,"[""See-No-Evil Monkey"", ""Mizaru"", ""Monkey Covering Eyes""]","[""see-no-evil"", ""monkey"", ""mizaru"", ""eyes"", ""covering""]","{""see-no-evil"": ""ADJ"", ""monkey"": ""NOUN"", ""mizaru"": ""NOUN"", ""covering"": ""NOUN"", ""eyes"": ""NOUN""}"
121,🙉,"[""Hear-No-Evil Monkey"", ""Kikazaru"", ""Monkey Covering Ears""]","[""monkey"", ""kikazaru"", ""hear-no-evil"", ""ears"", ""covering""]","{""hear-no-evil"": ""NOUN"", ""monkey"": ""NOUN"", ""kikazaru"": ""NOUN"", ""covering"": ""NOUN"", ""ears"": ""NOUN""}"
122,🙊,"[""Speak-No-Evil Monkey"", ""Iwazaru"", ""Monkey Covering Mouth"", ""No Speaking""]","[""mouth"", ""iwazaru"", ""no"", ""monkey"", ""speak-no-evil"", ""speaking"", ""covering""]","{""speak-no-evil"": ""ADJ"", ""monkey"": ""NOUN"", ""iwazaru"": ""NOUN"", ""covering"": ""NOUN"", ""mouth"": ""NOUN"", ""no"": ""DET"", ""speaking"": ""NOUN""}"
123,💋,"[""Kiss Mark"", ""Kissing Lips""]","[""kissing"", ""lips"", ""kiss"", ""mark""]","{""kiss"": ""NOUN"", ""mark"": ""NOUN"", ""kissing"": ""VERB"", ""lips"": ""NOUN""}"
124,💌,"[""Love Letter"", ""Heart Envelope"", ""Love Note""]","[""heart"", ""letter"", ""love"", ""note"", ""envelope""]","{""love"": ""NOUN"", ""letter"": ""NOUN"", ""heart"": ""NOUN"", ""envelope"": ""NOUN"", ""note"": ""NOUN""}"
125,💘,"[""Heart with Arrow"", ""Cupid Arrow"", ""Lovestruck""]","[""cupid"", ""heart"", ""arrow"", ""lovestruck"", ""with""]","{""heart"": ""NOUN"", ""with"": ""ADP"", ""arrow"": ""NOUN"", ""cupid"": ""NOUN"", ""lovestruck"": ""NOUN""}"
126,💝,"[""Heart with Ribbon"", ""Chocolate Box"", ""Gift Box"", ""Gift Heart""]","[""chocolate"", ""heart"", ""gift"", ""with"", ""box"", ""ribbon""]","{""heart"": ""NOUN"", ""with"": ""ADP"", ""ribbon"": ""NOUN"", ""chocolate"": ""NOUN"", ""box"": ""NOUN"", ""gift"": ""NOUN""}"
127,💖,"[""Sparkling Heart"", ""Sparkle Heart"", ""Sparkly Heart"", ""Stars Heart""]","[""stars"", ""heart"", ""sparkly"", ""sparkle"", ""sparkling""]","{""sparkling"": ""VERB"", ""heart"": ""NOUN"", ""sparkle"": ""NOUN"", ""sparkly"": ""NOUN"", ""stars"": ""NOUN""}"
128,💗,"[""Growing Heart"", ""Multiple Heart"", ""Triple Heart""]","[""heart"", ""triple"", ""multiple"", ""growing""]","{""growing"": ""VERB"", ""heart"": ""NOUN"", ""multiple"": ""ADJ"", ""triple"": ""ADJ""}"
129,💓,"[""Beating Heart"", ""Heart Alarm"", ""Heartbeat"", ""Wifi Heart""]","[""heart"", ""alarm"", ""beating"", ""heartbeat"", ""wifi""]","{""beating"": ""NOUN"", ""heart"": ""NOUN"", ""alarm"": ""NOUN"", ""heartbeat"": ""NOUN"", ""wifi"": ""NOUN""}"
130,💞,"[""Revolving Hearts"", ""Two Hearts""]","[""two"", ""hearts"", ""revolving""]","{""revolving"": ""VERB"", ""hearts"": ""NOUN"", ""two"": ""NUM""}"
131,💕,"[""Two Hearts"", ""Small Hearts"", ""Two Pink Hearts""]","[""two"", ""small"", ""hearts"", ""pink""]","{""two"": ""NUM"", ""hearts"": ""NOUN"", ""small"": ""ADJ"", ""pink"": ""NOUN""}"
132,💟,"[""Heart Decoration""]","[""heart"", ""decoration""]","{""heart"": ""NOUN"", ""decoration"": ""NOUN""}"
133,❣️,"[""Heart Exclamation"", ""Heart Above Dot""]","[""heart"", ""exclamation"", ""above"", ""dot""]","{""heart"": ""NOUN"", ""exclamation"": ""NOUN"", ""above"": ""NOUN"", ""dot"": ""NOUN""}"
134,❣,"[""Heart Exclamation"", ""Heart Above Dot""]","[""heart"", ""exclamation"", ""above"", ""dot""]","{""heart"": ""NOUN"", ""exclamation"": ""NOUN"", ""above"": ""NOUN"", ""dot"": ""NOUN""}"
135,💔,"[""Broken Heart"", ""Breaking Heart"", ""Brokenhearted"", ""Heart Broken""]","[""heart"", ""brokenhearted"", ""broken"", ""breaking""]","{""broken"": ""NOUN"", ""heart"": ""NOUN"", ""breaking"": ""VERB"", ""brokenhearted"": ""VERB""}"
136,❤️‍🔥,"[""Heart on Fire""]","[""on"", ""heart"", ""fire""]","{""heart"": ""NOUN"", ""on"": ""ADP"", ""fire"": ""NOUN""}"
137,❤‍🔥,"[""Heart on Fire""]","[""on"", ""heart"", ""fire""]","{""heart"": ""NOUN"", ""on"": ""ADP"", ""fire"": ""NOUN""}"
138,❤️‍🩹,"[""Mending Heart"", ""Bandaged Heart"", ""Healing Heart"", ""Unbroken Heart""]","[""heart"", ""mending"", ""unbroken"", ""healing"", ""bandaged""]","{""mending"": ""VERB"", ""heart"": ""NOUN"", ""bandaged"": ""NOUN"", ""healing"": ""VERB"", ""unbroken"": ""NOUN""}"
139,❤‍🩹,"[""Mending Heart"", ""Bandaged Heart"", ""Healing Heart"", ""Unbroken Heart""]","[""heart"", ""mending"", ""unbroken"", ""healing"", ""bandaged""]","{""mending"": ""VERB"", ""heart"": ""NOUN"", ""bandaged"": ""NOUN"", ""healing"": ""VERB"", ""unbroken"": ""NOUN""}"
140,❤️,"[""Red Heart"", ""Heart"", ""Love Heart"", ""Red Heart""]","[""heart"", ""love"", ""red""]","{""red"": ""ADJ"", ""heart"": ""NOUN"", ""love"": ""NOUN""}"
141,❤,"[""Red Heart"", ""Heart"", ""Love Heart"", ""Red Heart""]","[""heart"", ""love"", ""red""]","{""red"": ""ADJ"", ""heart"": ""NOUN"", ""love"": ""NOUN""}"
142,🧡,"[""Orange Heart""]","[""heart"", ""orange""]","{""orange"": ""NOUN"", ""heart"": ""NOUN""}"
143,💛,"[""Yellow Heart"", ""#1 BF Snapchat"", ""Gold Heart""]","[""snapchat"", ""heart"", ""yellow"", ""bf"", ""1"", ""#"", ""gold""]","{""yellow"": ""ADJ"", ""heart"": ""NOUN"", ""#"": ""."", ""1"": ""NUM"", ""bf"": ""NOUN"", ""snapchat"": ""NOUN"", ""gold"": ""NOUN""}"
144,💚,"[""Green Heart"", ""NCT Heart""]","[""green"", ""heart"", ""nct""]","{""green"": ""ADJ"", ""heart"": ""NOUN"", ""nct"": ""NOUN""}"
145,💙,"[""Blue Heart"", ""Brand Heart"", ""Neutral Heart""]","[""neutral"", ""heart"", ""brand"", ""blue""]","{""blue"": ""NOUN"", ""heart"": ""NOUN"", ""brand"": ""NOUN"", ""neutral"": ""ADJ""}"
146,💜,"[""Purple Heart"", ""BTS Emoji""]","[""purple"", ""bts"", ""heart"", ""emoji""]","{""purple"": ""NOUN"", ""heart"": ""NOUN"", ""bts"": ""NOUN"", ""emoji"": ""NOUN""}"
147,🤎,"[""Brown Heart""]","[""heart"", ""brown""]","{""brown"": ""NOUN"", ""heart"": ""NOUN""}"
148,🖤,"[""Black Heart"", ""Dark Heart""]","[""dark"", ""heart"", ""black""]","{""black"": ""NOUN"", ""heart"": ""NOUN"", ""dark"": ""NOUN""}"
149,🤍,"[""White Heart""]","[""white"", ""heart""]","{""white"": ""NOUN"", ""heart"": ""NOUN""}"
150,💯,"[""Hundred Points"", ""100"", ""Keep It 100"", ""Perfect Score""]","[""score"", ""100"", ""points"", ""hundred"", ""keep"", ""perfect"", ""it""]","{""hundred"": ""NUM"", ""points"": ""NOUN"", ""100"": ""NUM"", ""keep"": ""VERB"", ""it"": ""PRON"", ""perfect"": ""NOUN"", ""score"": ""NOUN""}"
151,💢,"[""Anger Symbol"", ""Anger Sign"", ""Vein Pop""]","[""pop"", ""symbol"", ""sign"", ""anger"", ""vein""]","{""anger"": ""NOUN"", ""symbol"": ""NOUN"", ""sign"": ""NOUN"", ""vein"": ""NOUN"", ""pop"": ""NOUN""}"
152,💥,"[""Collision"", ""Bang"", ""Explode"", ""Impact"", ""Red Spark""]","[""spark"", ""bang"", ""collision"", ""impact"", ""explode"", ""red""]","{""collision"": ""NOUN"", ""bang"": ""NOUN"", ""explode"": ""NOUN"", ""impact"": ""NOUN"", ""red"": ""ADJ"", ""spark"": ""NOUN""}"
153,💫,"[""Dizzy"", ""Circle And Star"", ""Dizzy""]","[""star"", ""and"", ""dizzy"", ""circle""]","{""dizzy"": ""NOUN"", ""circle"": ""NOUN"", ""and"": ""CONJ"", ""star"": ""NOUN""}"
154,💦,"[""Sweat Droplets"", ""Plewds"", ""Splashing Water"", ""Water Drops""]","[""sweat"", ""droplets"", ""water"", ""drops"", ""plewds"", ""splashing""]","{""sweat"": ""NOUN"", ""droplets"": ""NOUN"", ""plewds"": ""NOUN"", ""splashing"": ""VERB"", ""water"": ""NOUN"", ""drops"": ""NOUN""}"
155,💨,"[""Dashing Away"", ""Fast"", ""Steam"", ""Vaping"", ""Wind""]","[""steam"", ""wind"", ""dashing"", ""fast"", ""vaping"", ""away""]","{""dashing"": ""VERB"", ""away"": ""ADV"", ""fast"": ""ADV"", ""steam"": ""NOUN"", ""vaping"": ""VERB"", ""wind"": ""ADP""}"
156,🕳️,"[""Hole""]","[""hole""]","{""hole"": ""NOUN""}"
157,🕳,"[""Hole""]","[""hole""]","{""hole"": ""NOUN""}"
158,💣,"[""Bomb""]","[""bomb""]","{""bomb"": ""NOUN""}"
159,💬,"[""Speech Balloon"", ""Chat Bubble"", ""Speech Bubble""]","[""balloon"", ""speech"", ""bubble"", ""chat""]","{""speech"": ""NOUN"", ""balloon"": ""NOUN"", ""chat"": ""NOUN"", ""bubble"": ""NOUN""}"
160,👁️‍🗨️,"[""Eye in Speech Bubble"", ""I Am A Witness""]","[""speech"", ""am"", ""bubble"", ""i"", ""in"", ""witness"", ""a"", ""eye""]","{""eye"": ""NOUN"", ""in"": ""ADP"", ""speech"": ""NOUN"", ""bubble"": ""NOUN"", ""i"": ""PRON"", ""am"": ""VERB"", ""a"": ""DET"", ""witness"": ""NOUN""}"
161,👁‍🗨️,"[""Eye in Speech Bubble"", ""I Am A Witness""]","[""speech"", ""am"", ""bubble"", ""i"", ""in"", ""witness"", ""a"", ""eye""]","{""eye"": ""NOUN"", ""in"": ""ADP"", ""speech"": ""NOUN"", ""bubble"": ""NOUN"", ""i"": ""PRON"", ""am"": ""VERB"", ""a"": ""DET"", ""witness"": ""NOUN""}"
162,👁️‍🗨,"[""Eye in Speech Bubble"", ""I Am A Witness""]","[""speech"", ""am"", ""bubble"", ""i"", ""in"", ""witness"", ""a"", ""eye""]","{""eye"": ""NOUN"", ""in"": ""ADP"", ""speech"": ""NOUN"", ""bubble"": ""NOUN"", ""i"": ""PRON"", ""am"": ""VERB"", ""a"": ""DET"", ""witness"": ""NOUN""}"
163,👁‍🗨,"[""Eye in Speech Bubble"", ""I Am A Witness""]","[""speech"", ""am"", ""bubble"", ""i"", ""in"", ""witness"", ""a"", ""eye""]","{""eye"": ""NOUN"", ""in"": ""ADP"", ""speech"": ""NOUN"", ""bubble"": ""NOUN"", ""i"": ""PRON"", ""am"": ""VERB"", ""a"": ""DET"", ""witness"": ""NOUN""}"
164,🗨️,"[""Left Speech Bubble""]","[""left"", ""speech"", ""bubble""]","{""left"": ""NOUN"", ""speech"": ""NOUN"", ""bubble"": ""NOUN""}"
165,🗨,"[""Left Speech Bubble""]","[""left"", ""speech"", ""bubble""]","{""left"": ""NOUN"", ""speech"": ""NOUN"", ""bubble"": ""NOUN""}"
166,🗯️,"[""Right Anger Bubble"", ""Zig Zag Bubble""]","[""zig"", ""right"", ""zag"", ""bubble"", ""anger""]","{""right"": ""ADV"", ""anger"": ""NOUN"", ""bubble"": ""NOUN"", ""zig"": ""NOUN"", ""zag"": ""NOUN""}"
167,🗯,"[""Right Anger Bubble"", ""Zig Zag Bubble""]","[""zig"", ""right"", ""zag"", ""bubble"", ""anger""]","{""right"": ""ADV"", ""anger"": ""NOUN"", ""bubble"": ""NOUN"", ""zig"": ""NOUN"", ""zag"": ""NOUN""}"
168,💭,"[""Thought Balloon"", ""Thinking Bubble"", ""Thought Bubble""]","[""thought"", ""bubble"", ""thinking"", ""balloon""]","{""thought"": ""NOUN"", ""balloon"": ""NOUN"", ""thinking"": ""VERB"", ""bubble"": ""NOUN""}"
169,💤,"[""Zzz"", ""Bedtime"", ""Boring"", ""Sleep"", ""Zzz""]","[""zzz"", ""sleep"", ""bedtime"", ""boring""]","{""zzz"": ""NOUN"", ""bedtime"": ""NOUN"", ""boring"": ""VERB"", ""sleep"": ""NOUN""}"
170,👋,"[""Waving Hand"", ""Goodbye"", ""Hand Wave"", ""Hello"", ""Waving""]","[""goodbye"", ""wave"", ""hello"", ""waving"", ""hand""]","{""waving"": ""VERB"", ""hand"": ""NOUN"", ""goodbye"": ""NOUN"", ""wave"": ""NOUN"", ""hello"": ""NOUN""}"
171,👋🏻,"[""Waving Hand: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""hand"", ""waving"", "":""]","{""waving"": ""VERB"", ""hand"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
172,👋🏼,"[""Waving Hand: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""hand"", ""waving"", "":""]","{""waving"": ""VERB"", ""hand"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
173,👋🏽,"[""Waving Hand: Medium Skin Tone""]","[""skin"", ""medium"", ""tone"", ""hand"", ""waving"", "":""]","{""waving"": ""VERB"", ""hand"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
174,👋🏾,"[""Waving Hand: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""tone"", ""hand"", ""waving"", "":""]","{""waving"": ""VERB"", ""hand"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
175,👋🏿,"[""Waving Hand: Dark Skin Tone""]","[""skin"", ""tone"", ""dark"", ""hand"", ""waving"", "":""]","{""waving"": ""VERB"", ""hand"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
176,🤚,"[""Raised Back of Hand"", ""Backhand""]","[""backhand"", ""of"", ""raised"", ""back"", ""hand""]","{""raised"": ""VERB"", ""back"": ""NOUN"", ""of"": ""ADP"", ""hand"": ""NOUN"", ""backhand"": ""NOUN""}"
177,🤚🏻,"[""Raised Back of Hand: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""raised"", "":"", ""hand"", ""of"", ""back""]","{""raised"": ""VERB"", ""back"": ""NOUN"", ""of"": ""ADP"", ""hand"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
178,🤚🏼,"[""Raised Back of Hand: Medium-Light Skin Tone""]","[""skin"", ""tone"", ""raised"", "":"", ""hand"", ""medium-light"", ""of"", ""back""]","{""raised"": ""VERB"", ""back"": ""NOUN"", ""of"": ""ADP"", ""hand"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
179,🤚🏽,"[""Raised Back of Hand: Medium Skin Tone""]","[""skin"", ""medium"", ""tone"", ""raised"", "":"", ""hand"", ""of"", ""back""]","{""raised"": ""VERB"", ""back"": ""NOUN"", ""of"": ""ADP"", ""hand"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
180,🤚🏾,"[""Raised Back of Hand: Medium-Dark Skin Tone""]","[""skin"", ""tone"", ""raised"", "":"", ""hand"", ""medium-dark"", ""of"", ""back""]","{""raised"": ""VERB"", ""back"": ""NOUN"", ""of"": ""ADP"", ""hand"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
181,🤚🏿,"[""Raised Back of Hand: Dark Skin Tone""]","[""skin"", ""dark"", ""tone"", ""raised"", "":"", ""hand"", ""of"", ""back""]","{""raised"": ""VERB"", ""back"": ""NOUN"", ""of"": ""ADP"", ""hand"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
182,🖐️,"[""Hand with Fingers Splayed"", ""Five Hand"", ""Splayed Hand""]","[""fingers"", ""splayed"", ""five"", ""with"", ""hand""]","{""hand"": ""NOUN"", ""with"": ""ADP"", ""fingers"": ""NOUN"", ""splayed"": ""NOUN"", ""five"": ""NUM""}"
183,🖐,"[""Hand with Fingers Splayed"", ""Five Hand"", ""Splayed Hand""]","[""fingers"", ""splayed"", ""five"", ""with"", ""hand""]","{""hand"": ""NOUN"", ""with"": ""ADP"", ""fingers"": ""NOUN"", ""splayed"": ""NOUN"", ""five"": ""NUM""}"
184,🖐🏻,"[""Hand with Fingers Splayed: Light Skin Tone""]","[""skin"", ""splayed"", ""tone"", ""light"", "":"", ""hand"", ""fingers"", ""with""]","{""hand"": ""NOUN"", ""with"": ""ADP"", ""fingers"": ""NOUN"", ""splayed"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
185,🖐🏼,"[""Hand with Fingers Splayed: Medium-Light Skin Tone""]","[""skin"", ""splayed"", ""tone"", "":"", ""hand"", ""fingers"", ""medium-light"", ""with""]","{""hand"": ""NOUN"", ""with"": ""ADP"", ""fingers"": ""NOUN"", ""splayed"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
186,🖐🏽,"[""Hand with Fingers Splayed: Medium Skin Tone""]","[""skin"", ""splayed"", ""tone"", "":"", ""hand"", ""fingers"", ""with"", ""medium""]","{""hand"": ""NOUN"", ""with"": ""ADP"", ""fingers"": ""NOUN"", ""splayed"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
187,🖐🏾,"[""Hand with Fingers Splayed: Medium-Dark Skin Tone""]","[""skin"", ""splayed"", ""tone"", "":"", ""hand"", ""fingers"", ""medium-dark"", ""with""]","{""hand"": ""NOUN"", ""with"": ""ADP"", ""fingers"": ""NOUN"", ""splayed"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
