,emoji,src_meanings,clean_meanings
225,✌🏿,"[""Victory Hand: Dark Skin Tone""]","[""victory""]"
226,🤞,"[""Crossed Fingers"", ""Fingers Crossed"", ""Good Luck""]","[""crossed fingers"", ""fingers crossed"", ""good luck""]"
227,🤞🏻,"[""Crossed Fingers: Light Skin Tone""]","[""crossed fingers""]"
228,🤞🏼,"[""Crossed Fingers: Medium-Light Skin Tone""]","[""crossed fingers""]"
229,🤞🏽,"[""Crossed Fingers: Medium Skin Tone""]","[""crossed fingers""]"
230,🤞🏾,"[""Crossed Fingers: Medium-Dark Skin Tone""]","[""crossed fingers""]"
231,🤞🏿,"[""Crossed Fingers: Dark Skin Tone""]","[""crossed fingers""]"
232,🤟,"[""Love-You Gesture""]","[""love-you""]"
233,🤟🏻,"[""Love-You Gesture: Light Skin Tone""]","[""love-you""]"
234,🤟🏼,"[""Love-You Gesture: Medium-Light Skin Tone""]","[""love-you""]"
235,🤟🏽,"[""Love-You Gesture: Medium Skin Tone""]","[""love-you""]"
236,🤟🏾,"[""Love-You Gesture: Medium-Dark Skin Tone""]","[""love-you""]"
237,🤟🏿,"[""Love-You Gesture: Dark Skin Tone""]","[""love-you""]"
238,🤘,"[""Sign of the Horns"", ""Devil Fingers"", ""Heavy Metal"", ""Rock On""]","[""sign of the horns"", ""devil fingers"", ""heavy metal"", ""rock on""]"
239,🤘🏻,"[""Sign of the Horns: Light Skin Tone""]","[""sign of the horns""]"
240,🤘🏼,"[""Sign of the Horns: Medium-Light Skin Tone""]","[""sign of the horns""]"
241,🤘🏽,"[""Sign of the Horns: Medium Skin Tone""]","[""sign of the horns""]"
242,🤘🏾,"[""Sign of the Horns: Medium-Dark Skin Tone""]","[""sign of the horns""]"
243,🤘🏿,"[""Sign of the Horns: Dark Skin Tone""]","[""sign of the horns""]"
244,🤙,"[""Call Me Hand"", ""Phone Hand"", ""Shaka""]","[""call me"", ""phone"", ""shaka""]"
245,🤙🏻,"[""Call Me Hand: Light Skin Tone""]","[""call me""]"
246,🤙🏼,"[""Call Me Hand: Medium-Light Skin Tone""]","[""call me""]"
247,🤙🏽,"[""Call Me Hand: Medium Skin Tone""]","[""call me""]"
248,🤙🏾,"[""Call Me Hand: Medium-Dark Skin Tone""]","[""call me""]"
249,🤙🏿,"[""Call Me Hand: Dark Skin Tone""]","[""call me""]"
250,👈,"[""Backhand Index Pointing Left"", ""Pointing Left""]","[""backhand index pointing left"", ""pointing left""]"
251,👈🏻,"[""Backhand Index Pointing Left: Light Skin Tone""]","[""backhand index pointing left""]"
252,👈🏼,"[""Backhand Index Pointing Left: Medium-Light Skin Tone""]","[""backhand index pointing left""]"
253,👈🏽,"[""Backhand Index Pointing Left: Medium Skin Tone""]","[""backhand index pointing left""]"
254,👈🏾,"[""Backhand Index Pointing Left: Medium-Dark Skin Tone""]","[""backhand index pointing left""]"
255,👈🏿,"[""Backhand Index Pointing Left: Dark Skin Tone""]","[""backhand index pointing left""]"
256,👉,"[""Backhand Index Pointing Right"", ""Pointing Right""]","[""backhand index pointing right"", ""pointing right""]"
257,👉🏻,"[""Backhand Index Pointing Right: Light Skin Tone""]","[""backhand index pointing right""]"
258,👉🏼,"[""Backhand Index Pointing Right: Medium-Light Skin Tone""]","[""backhand index pointing right""]"
259,👉🏽,"[""Backhand Index Pointing Right: Medium Skin Tone""]","[""backhand index pointing right""]"
260,👉🏾,"[""Backhand Index Pointing Right: Medium-Dark Skin Tone""]","[""backhand index pointing right""]"
261,👉🏿,"[""Backhand Index Pointing Right: Dark Skin Tone""]","[""backhand index pointing right""]"
262,👆,"[""Backhand Index Pointing Up"", ""Middle Finger"", ""Pointing Up""]","[""backhand index pointing up"", ""middle finger"", ""pointing up""]"
263,👆🏻,"[""Backhand Index Pointing Up: Light Skin Tone""]","[""backhand index pointing up""]"
264,👆🏼,"[""Backhand Index Pointing Up: Medium-Light Skin Tone""]","[""backhand index pointing up""]"
265,👆🏽,"[""Backhand Index Pointing Up: Medium Skin Tone""]","[""backhand index pointing up""]"
266,👆🏾,"[""Backhand Index Pointing Up: Medium-Dark Skin Tone""]","[""backhand index pointing up""]"
267,👆🏿,"[""Backhand Index Pointing Up: Dark Skin Tone""]","[""backhand index pointing up""]"
268,🖕,"[""Middle Finger"", ""Dito Medio"", ""Flipping The Bird"", ""Middle\u00a0Finger"", ""Rude Finger""]","[""middle finger"", ""dito medio"", ""flipping the bird"", ""middle finger"", ""rude finger""]"
269,🖕🏻,"[""Middle Finger: Light Skin Tone""]","[""middle finger""]"
270,🖕🏼,"[""Middle Finger: Medium-Light Skin Tone""]","[""middle finger""]"
271,🖕🏽,"[""Middle Finger: Medium Skin Tone""]","[""middle finger""]"
272,🖕🏾,"[""Middle Finger: Medium-Dark Skin Tone""]","[""middle finger""]"
273,🖕🏿,"[""Middle Finger: Dark Skin Tone""]","[""middle finger""]"
274,👇,"[""Backhand Index Pointing Down"", ""Pointing Down""]","[""backhand index pointing down"", ""pointing down""]"
275,👇🏻,"[""Backhand Index Pointing Down: Light Skin Tone""]","[""backhand index pointing down""]"
276,👇🏼,"[""Backhand Index Pointing Down: Medium-Light Skin Tone""]","[""backhand index pointing down""]"
277,👇🏽,"[""Backhand Index Pointing Down: Medium Skin Tone""]","[""backhand index pointing down""]"
278,👇🏾,"[""Backhand Index Pointing Down: Medium-Dark Skin Tone""]","[""backhand index pointing down""]"
279,👇🏿,"[""Backhand Index Pointing Down: Dark Skin Tone""]","[""backhand index pointing down""]"
280,☝️,"[""Index Pointing Up"", ""Pointing Up"", ""Secret""]","[""index pointing up"", ""pointing up"", ""secret""]"
281,☝,"[""Index Pointing Up"", ""Pointing Up"", ""Secret""]","[""index pointing up"", ""pointing up"", ""secret""]"
282,☝🏻,"[""Index Pointing Up: Light Skin Tone""]","[""index pointing up""]"
283,☝🏼,"[""Index Pointing Up: Medium-Light Skin Tone""]","[""index pointing up""]"
284,☝🏽,"[""Index Pointing Up: Medium Skin Tone""]","[""index pointing up""]"
285,☝🏾,"[""Index Pointing Up: Medium-Dark Skin Tone""]","[""index pointing up""]"
286,☝🏿,"[""Index Pointing Up: Dark Skin Tone""]","[""index pointing up""]"
287,👍,"[""Thumbs Up"", ""Like"", ""Thumbs Up"", ""Yes""]","[""thumbs up"", ""like"", ""thumbs up"", ""yes""]"
288,👍🏻,"[""Thumbs Up: Light Skin Tone""]","[""thumbs up""]"
289,👍🏼,"[""Thumbs Up: Medium-Light Skin Tone""]","[""thumbs up""]"
290,👍🏽,"[""Thumbs Up: Medium Skin Tone""]","[""thumbs up""]"
291,👍🏾,"[""Thumbs Up: Medium-Dark Skin Tone""]","[""thumbs up""]"
292,👍🏿,"[""Thumbs Up: Dark Skin Tone""]","[""thumbs up""]"
293,👎,"[""Thumbs Down"", ""Bad"", ""Dislike"", ""No""]","[""thumbs down"", ""bad"", ""dislike"", ""no""]"
294,👎🏻,"[""Thumbs Down: Light Skin Tone""]","[""thumbs down""]"
295,👎🏼,"[""Thumbs Down: Medium-Light Skin Tone""]","[""thumbs down""]"
296,👎🏽,"[""Thumbs Down: Medium Skin Tone""]","[""thumbs down""]"
297,👎🏾,"[""Thumbs Down: Medium-Dark Skin Tone""]","[""thumbs down""]"
298,👎🏿,"[""Thumbs Down: Dark Skin Tone""]","[""thumbs down""]"
299,✊,"[""Raised Fist"", ""Fist Pump""]","[""raised fist"", ""fist pump""]"
300,✊🏻,"[""Raised Fist: Light Skin Tone""]","[""raised fist""]"
301,✊🏼,"[""Raised Fist: Medium-Light Skin Tone""]","[""raised fist""]"
302,✊🏽,"[""Raised Fist: Medium Skin Tone""]","[""raised fist""]"
303,✊🏾,"[""Raised Fist: Medium-Dark Skin Tone""]","[""raised fist""]"
304,✊🏿,"[""Raised Fist: Dark Skin Tone""]","[""raised fist""]"
305,👊,"[""Oncoming Fist"", ""Bro Fist / Brofist"", ""Fist Bump"", ""Punch""]","[""oncoming fist"", ""bro fist / brofist"", ""fist bump"", ""punch""]"
306,👊🏻,"[""Oncoming Fist: Light Skin Tone""]","[""oncoming fist""]"
307,👊🏼,"[""Oncoming Fist: Medium-Light Skin Tone""]","[""oncoming fist""]"
308,👊🏽,"[""Oncoming Fist: Medium Skin Tone""]","[""oncoming fist""]"
309,👊🏾,"[""Oncoming Fist: Medium-Dark Skin Tone""]","[""oncoming fist""]"
310,👊🏿,"[""Oncoming Fist: Dark Skin Tone""]","[""oncoming fist""]"
311,🤛,"[""Left-Facing Fist"", ""Left Fist Bump""]","[""fist"", ""left fist bump""]"
312,🤛🏻,"[""Left-Facing Fist: Light Skin Tone""]","[""fist""]"
313,🤛🏼,"[""Left-Facing Fist: Medium-Light Skin Tone""]","[""fist""]"
314,🤛🏽,"[""Left-Facing Fist: Medium Skin Tone""]","[""fist""]"
315,🤛🏾,"[""Left-Facing Fist: Medium-Dark Skin Tone""]","[""fist""]"
316,🤛🏿,"[""Left-Facing Fist: Dark Skin Tone""]","[""fist""]"
317,🤜,"[""Right-Facing Fist"", ""Right\u00a0Fist Bump""]","[""fist"", ""right fist bump""]"
318,🤜🏻,"[""Right-Facing Fist: Light Skin Tone""]","[""fist""]"
319,🤜🏼,"[""Right-Facing Fist: Medium-Light Skin Tone""]","[""fist""]"
320,🤜🏽,"[""Right-Facing Fist: Medium Skin Tone""]","[""fist""]"
321,🤜🏾,"[""Right-Facing Fist: Medium-Dark Skin Tone""]","[""fist""]"
322,🤜🏿,"[""Right-Facing Fist: Dark Skin Tone""]","[""fist""]"
323,👏,"[""Clapping Hands"", ""Applause"", ""Clap"", ""Clapping"", ""Golf Clap"", ""Round Of Applause""]","[""clapping hands"", ""applause"", ""clap"", ""clapping"", ""golf clap"", ""round of applause""]"
324,👏🏻,"[""Clapping Hands: Light Skin Tone""]","[""clapping hands""]"
325,👏🏼,"[""Clapping Hands: Medium-Light Skin Tone""]","[""clapping hands""]"
326,👏🏽,"[""Clapping Hands: Medium Skin Tone""]","[""clapping hands""]"
327,👏🏾,"[""Clapping Hands: Medium-Dark Skin Tone""]","[""clapping hands""]"
328,👏🏿,"[""Clapping Hands: Dark Skin Tone""]","[""clapping hands""]"
329,🙌,"[""Raising Hands"", ""Arms In The Air"", ""Banzai"", ""Festivus Miracle"", ""Hallelujah"", ""Praise Hands"", ""Two Hands""]","[""raising hands"", ""arms in the air"", ""banzai"", ""festivus miracle"", ""hallelujah"", ""praise hands"", ""two hands""]"
330,🙌🏻,"[""Raising Hands: Light Skin Tone""]","[""raising hands""]"
331,🙌🏼,"[""Raising Hands: Medium-Light Skin Tone""]","[""raising hands""]"
332,🙌🏽,"[""Raising Hands: Medium Skin Tone""]","[""raising hands""]"
333,🙌🏾,"[""Raising Hands: Medium-Dark Skin Tone""]","[""raising hands""]"
334,🙌🏿,"[""Raising Hands: Dark Skin Tone""]","[""raising hands""]"
335,👐,"[""Open Hands"", ""Hug"", ""Jazz Hands""]","[""open hands"", ""hug"", ""jazz hands""]"
336,👐🏻,"[""Open Hands: Light Skin Tone""]","[""open hands""]"
337,👐🏼,"[""Open Hands: Medium-Light Skin Tone""]","[""open hands""]"
338,👐🏽,"[""Open Hands: Medium Skin Tone""]","[""open hands""]"
339,👐🏾,"[""Open Hands: Medium-Dark Skin Tone""]","[""open hands""]"
340,👐🏿,"[""Open Hands: Dark Skin Tone""]","[""open hands""]"
341,🤲,"[""Palms Up Together"", ""Dua""]","[""palms up together"", ""dua""]"
342,🤲🏻,"[""Palms Up Together: Light Skin Tone""]","[""palms up together""]"
343,🤲🏼,"[""Palms Up Together: Medium-Light Skin Tone""]","[""palms up together""]"
344,🤲🏽,"[""Palms Up Together: Medium Skin Tone""]","[""palms up together""]"
345,🤲🏾,"[""Palms Up Together: Medium-Dark Skin Tone""]","[""palms up together""]"
346,🤲🏿,"[""Palms Up Together: Dark Skin Tone""]","[""palms up together""]"
347,🤝,"[""Handshake"", ""Shaking Hands""]","[""handshake"", ""shaking hands""]"
348,🙏,"[""Folded Hands"", ""Namaste"", ""Please"", ""Prayer"", ""Thank You""]","[""folded hands"", ""namaste"", ""please"", ""prayer"", ""thank you""]"
349,🙏🏻,"[""Folded Hands: Light Skin Tone""]","[""folded hands""]"
350,🙏🏼,"[""Folded Hands: Medium-Light Skin Tone""]","[""folded hands""]"
351,🙏🏽,"[""Folded Hands: Medium Skin Tone""]","[""folded hands""]"
352,🙏🏾,"[""Folded Hands: Medium-Dark Skin Tone""]","[""folded hands""]"
353,🙏🏿,"[""Folded Hands: Dark Skin Tone""]","[""folded hands""]"
354,✍️,"[""Writing Hand""]","[""writing""]"
355,✍,"[""Writing Hand""]","[""writing""]"
356,✍🏻,"[""Writing Hand: Light Skin Tone""]","[""writing""]"
357,✍🏼,"[""Writing Hand: Medium-Light Skin Tone""]","[""writing""]"
358,✍🏽,"[""Writing Hand: Medium Skin Tone""]","[""writing""]"
359,✍🏾,"[""Writing Hand: Medium-Dark Skin Tone""]","[""writing""]"
360,✍🏿,"[""Writing Hand: Dark Skin Tone""]","[""writing""]"
361,💅,"[""Nail Polish"", ""Fingers"", ""Manicure"", ""Nonchalant""]","[""nail polish"", ""fingers"", ""manicure"", ""nonchalant""]"
362,💅🏻,"[""Nail Polish: Light Skin Tone""]","[""nail polish""]"
363,💅🏼,"[""Nail Polish: Medium-Light Skin Tone""]","[""nail polish""]"
364,💅🏽,"[""Nail Polish: Medium Skin Tone""]","[""nail polish""]"
365,💅🏾,"[""Nail Polish: Medium-Dark Skin Tone""]","[""nail polish""]"
366,💅🏿,"[""Nail Polish: Dark Skin Tone""]","[""nail polish""]"
367,🤳,"[""Selfie"", ""Phone Camera"", ""Selfie Hand""]","[""selfie"", ""phone camera"", ""selfie""]"
368,🤳🏻,"[""Selfie: Light Skin Tone""]","[""selfie""]"
369,🤳🏼,"[""Selfie: Medium-Light Skin Tone""]","[""selfie""]"
370,🤳🏽,"[""Selfie: Medium Skin Tone""]","[""selfie""]"
371,🤳🏾,"[""Selfie: Medium-Dark Skin Tone""]","[""selfie""]"
372,🤳🏿,"[""Selfie: Dark Skin Tone""]","[""selfie""]"
373,💪,"[""Flexed Biceps"", ""Feats of Strength"", ""Flexing Arm Muscles"", ""Muscle"", ""Strong""]","[""flexed biceps"", ""feats of strength"", ""flexing arm muscles"", ""muscle"", ""strong""]"
374,💪🏻,"[""Flexed Biceps: Light Skin Tone""]","[""flexed biceps""]"
375,💪🏼,"[""Flexed Biceps: Medium-Light Skin Tone""]","[""flexed biceps""]"
376,💪🏽,"[""Flexed Biceps: Medium Skin Tone""]","[""flexed biceps""]"
377,💪🏾,"[""Flexed Biceps: Medium-Dark Skin Tone""]","[""flexed biceps""]"
378,💪🏿,"[""Flexed Biceps: Dark Skin Tone""]","[""flexed biceps""]"
379,🦾,"[""Mechanical Arm""]","[""mechanical arm""]"
380,🦿,"[""Mechanical Leg""]","[""mechanical leg""]"
381,🦵,"[""Leg""]","[""leg""]"
382,🦵🏻,"[""Leg: Light Skin Tone""]","[""leg""]"
383,🦵🏼,"[""Leg: Medium-Light Skin Tone""]","[""leg""]"
384,🦵🏽,"[""Leg: Medium Skin Tone""]","[""leg""]"
385,🦵🏾,"[""Leg: Medium-Dark Skin Tone""]","[""leg""]"
386,🦵🏿,"[""Leg: Dark Skin Tone""]","[""leg""]"
387,🦶,"[""Foot""]","[""foot""]"
388,🦶🏻,"[""Foot: Light Skin Tone""]","[""foot""]"
389,🦶🏼,"[""Foot: Medium-Light Skin Tone""]","[""foot""]"
390,🦶🏽,"[""Foot: Medium Skin Tone""]","[""foot""]"
391,🦶🏾,"[""Foot: Medium-Dark Skin Tone""]","[""foot""]"
392,🦶🏿,"[""Foot: Dark Skin Tone""]","[""foot""]"
393,👂,"[""Ear"", ""Ears"", ""Hearing"", ""Listening""]","[""ear"", ""ears"", ""hearing"", ""listening""]"
394,👂🏻,"[""Ear: Light Skin Tone""]","[""ear""]"
395,👂🏼,"[""Ear: Medium-Light Skin Tone""]","[""ear""]"
396,👂🏽,"[""Ear: Medium Skin Tone""]","[""ear""]"
397,👂🏾,"[""Ear: Medium-Dark Skin Tone""]","[""ear""]"
398,👂🏿,"[""Ear: Dark Skin Tone""]","[""ear""]"
399,🦻,"[""Ear with Hearing Aid""]","[""ear with hearing aid""]"
400,🦻🏻,"[""Ear with Hearing Aid: Light Skin Tone""]","[""ear with hearing aid""]"
401,🦻🏼,"[""Ear with Hearing Aid: Medium-Light Skin Tone""]","[""ear with hearing aid""]"
402,🦻🏽,"[""Ear with Hearing Aid: Medium Skin Tone""]","[""ear with hearing aid""]"
403,🦻🏾,"[""Ear with Hearing Aid: Medium-Dark Skin Tone""]","[""ear with hearing aid""]"
404,🦻🏿,"[""Ear with Hearing Aid: Dark Skin Tone""]","[""ear with hearing aid""]"
405,👃,"[""Nose"", ""Smelling"", ""Sniffing"", ""Stinky""]","[""nose"", ""smelling"", ""sniffing"", ""stinky""]"
406,👃🏻,"[""Nose: Light Skin Tone""]","[""nose""]"
407,👃🏼,"[""Nose: Medium-Light Skin Tone""]","[""nose""]"
408,👃🏽,"[""Nose: Medium Skin Tone""]","[""nose""]"
409,👃🏾,"[""Nose: Medium-Dark Skin Tone""]","[""nose""]"
410,👃🏿,"[""Nose: Dark Skin Tone""]","[""nose""]"
411,🧠,"[""Brain""]","[""brain""]"
412,🫀,"[""Anatomical Heart""]","[""anatomical heart""]"
413,🫁,"[""Lungs""]","[""lungs""]"
414,🦷,"[""Tooth""]","[""tooth""]"
415,🦴,"[""Bone""]","[""bone""]"
416,👀,"[""Eyes"", ""Eyeballs"", ""Shifty Eyes"", ""Wide Eyes""]","[""eyes"", ""eyeballs"", ""shifty eyes"", ""wide eyes""]"
417,👁️,"[""Eye"", ""Single Eye""]","[""eye"", ""single eye""]"
418,👁,"[""Eye"", ""Single Eye""]","[""eye"", ""single eye""]"
419,👅,"[""Tongue"", ""Tongue Out""]","[""tongue"", ""tongue out""]"
420,👄,"[""Mouth"", ""Kissing Lips"", ""Lips""]","[""mouth"", ""kissing lips"", ""lips""]"
421,👶,"[""Baby"", ""Child"", ""Toddler""]","[""baby"", ""child"", ""toddler""]"
422,👶🏻,"[""Baby: Light Skin Tone""]","[""baby""]"
423,👶🏼,"[""Baby: Medium-Light Skin Tone""]","[""baby""]"
424,👶🏽,"[""Baby: Medium Skin Tone""]","[""baby""]"
425,👶🏾,"[""Baby: Medium-Dark Skin Tone""]","[""baby""]"
426,👶🏿,"[""Baby: Dark Skin Tone""]","[""baby""]"
427,🧒,"[""Child"", ""Gender Neutral Child""]","[""child"", ""gender neutral child""]"
428,🧒🏻,"[""Child: Light Skin Tone""]","[""child""]"
429,🧒🏼,"[""Child: Medium-Light Skin Tone""]","[""child""]"
430,🧒🏽,"[""Child: Medium Skin Tone""]","[""child""]"
431,🧒🏾,"[""Child: Medium-Dark Skin Tone""]","[""child""]"
432,🧒🏿,"[""Child: Dark Skin Tone""]","[""child""]"
433,👦,"[""Boy""]","[""boy""]"
434,👦🏻,"[""Boy: Light Skin Tone""]","[""boy""]"
435,👦🏼,"[""Boy: Medium-Light Skin Tone""]","[""boy""]"
436,👦🏽,"[""Boy: Medium Skin Tone""]","[""boy""]"
437,👦🏾,"[""Boy: Medium-Dark Skin Tone""]","[""boy""]"
438,👦🏿,"[""Boy: Dark Skin Tone""]","[""boy""]"
439,👧,"[""Girl""]","[""girl""]"
440,👧🏻,"[""Girl: Light Skin Tone""]","[""girl""]"
441,👧🏼,"[""Girl: Medium-Light Skin Tone""]","[""girl""]"
442,👧🏽,"[""Girl: Medium Skin Tone""]","[""girl""]"
443,👧🏾,"[""Girl: Medium-Dark Skin Tone""]","[""girl""]"
444,👧🏿,"[""Girl: Dark Skin Tone""]","[""girl""]"
445,🧑,"[""Person"", ""Gender Neutral Adult""]","[""person"", ""gender neutral adult""]"
446,🧑🏻,"[""Person: Light Skin Tone""]","[""person""]"
447,🧑🏼,"[""Person: Medium-Light Skin Tone""]","[""person""]"
448,🧑🏽,"[""Person: Medium Skin Tone""]","[""person""]"
449,🧑🏾,"[""Person: Medium-Dark Skin Tone""]","[""person""]"
450,🧑🏿,"[""Person: Dark Skin Tone""]","[""person""]"
451,👱,"[""Person: Blond Hair"", ""Blond"", ""Blonde"", ""Blond Man""]","[""person"", ""blond"", ""blonde"", ""blond man""]"
452,👱🏻,"[""Person: Light Skin Tone, Blond Hair""]","[""person""]"
453,👱🏼,"[""Person: Medium-Light Skin Tone, Blond Hair""]","[""person""]"
454,👱🏽,"[""Person: Medium Skin Tone, Blond Hair""]","[""person""]"
455,👱🏾,"[""Person: Medium-Dark Skin Tone, Blond Hair""]","[""person""]"
456,👱🏿,"[""Person: Dark Skin Tone, Blond Hair""]","[""person""]"
457,👨,"[""Man"", ""Male"", ""Moustache Man""]","[""man"", ""male"", ""moustache man""]"
458,👨🏻,"[""Man: Light Skin Tone""]","[""man""]"
459,👨🏼,"[""Man: Medium-Light Skin Tone""]","[""man""]"
460,👨🏽,"[""Man: Medium Skin Tone""]","[""man""]"
461,👨🏾,"[""Man: Medium-Dark Skin Tone""]","[""man""]"
462,👨🏿,"[""Man: Dark Skin Tone""]","[""man""]"
463,🧔,"[""Person: Beard"", ""Bearded Person""]","[""beard"", ""person"", ""bearded person""]"
464,🧔🏻,"[""Person: Light Skin Tone, Beard""]","[""beard"", ""person""]"
465,🧔🏼,"[""Person: Medium-Light Skin Tone, Beard""]","[""beard"", ""person""]"
466,🧔🏽,"[""Person: Medium Skin Tone, Beard""]","[""beard"", ""person""]"
467,🧔🏾,"[""Person: Medium-Dark Skin Tone, Beard""]","[""beard"", ""person""]"
468,🧔🏿,"[""Person: Dark Skin Tone, Beard""]","[""beard"", ""person""]"
469,🧔‍♂️,"[""Man: Beard""]","[""beard"", ""man""]"
470,🧔‍♂,"[""Man: Beard""]","[""beard"", ""man""]"
471,🧔🏻‍♂️,"[""Man: Light Skin Tone, Beard""]","[""beard"", ""man""]"
472,🧔🏻‍♂,"[""Man: Light Skin Tone, Beard""]","[""beard"", ""man""]"
473,🧔🏼‍♂️,"[""Man: Medium-Light Skin Tone, Beard""]","[""beard"", ""man""]"
474,🧔🏼‍♂,"[""Man: Medium-Light Skin Tone, Beard""]","[""beard"", ""man""]"
475,🧔🏽‍♂️,"[""Man: Medium Skin Tone, Beard""]","[""beard"", ""man""]"
476,🧔🏽‍♂,"[""Man: Medium Skin Tone, Beard""]","[""beard"", ""man""]"
